[00:00:55] |Oasis|3|Team 1|Team 2|2
[00:00:55] |Reginald|Zshrimpman|Chu|Nacho|Er6ick|ehflep|Guillotine|Flexecution|melo|trasherlyn
[00:00:58] |58.08|Guillotine|Baptiste|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|melo|(-189.32, 18.60, -57.13)|Team 2|0|0|200|(0.04, -0.13, -0.99)|0.60|200
[00:00:58] |58.08|ehflep|Reinhardt|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Er6ick|(-185.98, 18.92, -53.90)|Team 2|0|0|625|(-0.06, -0.05, 1.00)|0.92|625
[00:00:58] |58.08|trasherlyn|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ehflep|(-186.75, 19.80, -57.86)|Team 2|0|0|200|(0.00, -0.32, 0.95)|1.80|200
[00:00:59] |59.07|0|0
[00:00:59] |59.09|Reginald|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Chu|(-170.81, 16.00, 38.15)|Team 1|0|0|200|(-0.93, -0.19, 0.32)|0.17|200
[00:00:59] |59.09|Flexecution|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Reginald|(-189.08, 18.61, -47.30)|Team 2|0|0|250|(0.25, -0.16, 0.96)|0.79|250
[00:00:59] |59.09|Zshrimpman|Junker Queen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Flexecution|(-175.72, 15.83, 30.15)|Team 1|0|0|450|(-0.37, -0.21, -0.90)|0.83|450
[00:00:59] |59.09|melo|Cassidy|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Chu|(-195.03, 20.00, -81.20)|Team 2|0|0|225|(-0.01, -0.00, 1.00)|0|225
[00:00:59] |59.09|Er6ick|Genji|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Reginald|(-173.65, 18.59, 56.10)|Team 1|0|0|200|(0.12, -0.22, -0.97)|2.59|200
[00:00:59] |59.09|Chu|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Reginald|(-174.64, 18.77, 64.89)|Team 1|0|0|250|(0.08, -0.18, -0.98)|1.16|250
[00:00:59] |59.09|Nacho|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Flexecution|(-174.52, 15.68, 28.66)|Team 1|0|0|200|(-0.25, -0.09, -0.96)|0.68|200
[00:00:59] |59.09|Guillotine|Baptiste|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|melo|(-189.46, 18.01, -51.25)|Team 2|0|0|200|(0.04, -0.13, -0.99)|0|200
[00:00:59] |59.09|ehflep|Reinhardt|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Chu|(-186.59, 18.55, -45.05)|Team 2|0|0|625|(0.06, -0.09, 0.99)|1.85|625
[00:00:59] |59.09|trasherlyn|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Zshrimpman|(-185.57, 18.98, -44.63)|Team 2|0|0|200|(-0.03, -0.29, 0.96)|2.50|200
[00:01:00] |60.08|0|0
[00:01:00] |60.10|Reginald|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Chu|(-172.01, 16.00, 43.35)|Team 1|0|0|200|(-0.15, -0.11, 0.98)|1.00|200
